name,type,color,sweetness,crunchiness,juiciness,acidity,fiber_g,sugar_g,seeds,has_peel,typical_weight_g,is_tropical
blueberry,fruit,blue,6.7,2.4,5.9,2.8,2.46,9.56,few,False,1,False
potato,vegetable,brown,2.0,6.1,1.5,1.2,2.33,1.39,none,True,217,False
spinach,vegetable,green,0.9,2.4,6.7,1.6,1.04,0.57,none,False,33,False
watermelon,fruit,green,9.3,1.0,8.4,2.6,0.65,5.17,many,True,9339,False
mango,fruit,orange,7.9,1.7,7.9,3.8,2.82,13.23,few,True,163,True
strawberry,fruit,red,6.5,2.6,6.4,3.9,1.46,7.3,many,False,15,False
pear,fruit,yellow,7.0,4.3,7.4,2.3,7.38,15.81,few,True,172,False
orange,fruit,orange,5.6,4.3,9.4,3.8,3.33,11.81,many,True,143,True
bell_pepper,vegetable,green,3.9,5.1,6.1,3.4,1.83,2.53,none,True,154,False
pineapple,fruit,brown,7.0,1.4,8.8,6.5,2.8,9.8,many,True,846,True
blueberry,fruit,blue,5.2,2.4,6.0,3.3,2.37,10.23,few,False,1,False
onion,vegetable,white,3.2,6.4,4.5,5.4,1.96,4.8,many,True,175,False
carrot,vegetable,orange,5.5,8.2,2.2,2.6,2.2,5.28,none,False,56,False
strawberry,fruit,orange,7.3,1.8,6.8,3.0,2.58,7.25,many,False,17,False
strawberry,fruit,red,6.5,3.0,8.5,3.8,1.69,7.01,many,False,17,False
strawberry,fruit,red,6.9,3.0,7.1,4.1,2.09,8.23,many,False,15,False
spinach,vegetable,green,1.1,2.8,7.6,2.0,1.85,0.29,none,False,36,False
pineapple,fruit,brown,3.8,0.4,9.3,7.3,2.37,11.84,many,True,877,True
onion,vegetable,yellow,3.2,7.0,4.3,5.2,2.37,4.13,many,True,151,False
tomato,vegetable,red,5.8,1.8,7.1,5.5,1.36,3.71,many,False,111,False
orange,fruit,white,5.9,2.8,8.5,5.1,2.77,13.26,many,True,116,True
spinach,vegetable,green,0.4,2.4,7.2,1.7,1.98,0.49,none,False,25,False
pineapple,fruit,brown,6.2,0.9,10,4.6,2.07,10.19,many,True,873,True
grape,fruit,purple,5.3,2.9,6.1,3.7,1.2,2.79,none,False,3,False
onion,vegetable,white,2.7,5.9,3.5,5.5,2.02,3.27,many,True,179,False
pineapple,fruit,brown,6.4,0.1,9.0,6.1,1.63,10.14,many,True,761,True
blueberry,fruit,blue,5.7,1.8,5.2,2.0,1.81,9.94,few,False,1,False
mango,fruit,orange,6.8,1.2,8.7,4.5,2.3,13.94,none,True,212,True
pineapple,fruit,brown,5.7,0.8,10,6.6,2.4,6.47,many,True,856,True
carrot,vegetable,orange,5.0,7.2,2.5,3.3,3.33,2.55,none,False,59,False
banana,fruit,yellow,8.4,2.5,6.2,3.0,3.88,12.58,none,True,103,True
watermelon,fruit,blue,6.5,1.2,9.8,2.8,0.76,5.67,many,True,8979,False
orange,fruit,orange,6.7,3.0,8.2,4.4,3.7,11.56,many,True,123,True
watermelon,fruit,purple,6.2,1.2,8.6,2.6,0.56,7.45,many,True,11955,False
banana,fruit,yellow,6.8,2.3,6.5,2.7,3.46,13.9,none,True,118,True
spinach,vegetable,green,1.2,2.4,7.1,2.4,1.95,0.24,none,False,31,False
orange,fruit,orange,6.3,3.4,7.9,5.4,3.38,10.25,many,True,144,True
onion,vegetable,white,3.7,6.0,3.7,5.7,2.07,3.08,many,True,145,False
grape,fruit,purple,6.7,1.5,5.5,4.5,1.29,4.22,few,False,3,False
carrot,vegetable,orange,5.2,7.8,4.1,2.0,3.27,5.28,none,False,56,False
potato,vegetable,brown,2.9,5.9,1.9,0.8,2.1,0.64,none,True,206,False
onion,vegetable,white,2.5,7.3,3.0,6.0,1.28,6.21,few,True,179,False
bell_pepper,vegetable,brown,5.1,5.1,6.3,3.0,1.9,2.36,many,True,139,False
blueberry,fruit,blue,7.0,2.1,5.3,2.5,2.06,11.63,few,False,1,False
orange,fruit,orange,5.7,3.3,7.4,5.7,3.42,10.42,many,True,122,True
apple,fruit,red,3.7,7.7,2.2,3.6,5.19,22.52,few,True,197,False
potato,vegetable,brown,2.2,4.9,1.6,1.0,2.08,0.62,few,True,193,False
blueberry,fruit,blue,5.7,2.5,5.2,2.7,2.08,12.06,few,False,1,False
potato,vegetable,brown,2.2,6.5,1.9,0.4,2.59,1.32,none,True,248,False
grape,fruit,purple,6.5,1.8,6.4,5.2,1.41,3.92,many,False,5,False
apple,fruit,red,7.3,5.8,3.6,3.8,5.13,20.48,few,True,180,False
banana,fruit,yellow,6.4,2.1,6.1,2.6,3.8,11.91,none,True,105,True
orange,fruit,orange,7.4,2.5,8.2,5.9,3.19,13.15,many,True,144,True
bell_pepper,vegetable,green,4.2,6.2,5.9,3.2,1.46,3.34,many,True,137,False
orange,fruit,green,5.7,3.7,7.0,5.1,3.53,13.02,many,True,139,True
blueberry,fruit,blue,8.3,2.2,5.9,3.4,2.36,10.69,few,False,1,False
pear,fruit,green,5.1,5.8,6.6,3.8,5.6,14.52,few,True,184,False
bell_pepper,vegetable,green,4.6,5.3,6.7,2.6,1.79,2.63,many,True,166,False
blueberry,fruit,blue,6.2,2.1,7.8,2.9,1.9,10.93,none,False,1,False
blueberry,fruit,blue,5.3,2.8,5.6,3.4,2.42,11.42,few,False,1,False
blueberry,fruit,purple,6.9,2.2,5.9,1.7,2.54,10.84,few,False,1,False
