AssociateID,SupervisorID,Associate State,Supervisor State,StateMatch,Associate License,Who can you supervise?,LicenseMatch,AssocAvailability,SupAvailability,AvailabilityOverlap,AvailabilityScore,SupervisorCapacity,Label,Reason
A000,S019,NC,SC,0,LMSW,LMHC,0,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Thu PM, Wed AM, Sat AM, Thu AM",2,0.5525,1,0,state_mismatch
A000,S004,NC,GA,0,LMSW,LPCC,0,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Sat PM, Sat AM, Thu PM, Thu Eve, Wed PM",1,0.2716,3,0,state_mismatch
A000,S011,NC,OH,0,LMSW,"LMFT, LPCC",0,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Fri Eve, Fri AM, Sat PM",1,0.4538,4,0,state_mismatch
A000,S037,NC,PA,0,LMSW,"LMFT, LPCC, LMHC",0,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Fri Eve, Tue AM, Fri PM, Thu PM",1,0.4388,4,0,state_mismatch
A000,S013,NC,SC,0,LMSW,LPCC,0,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Sat Eve, Tue AM, Thu Eve, Thu AM",0,0.1535,1,0,state_mismatch
A000,S027,NC,OH,0,LMSW,"LPCC, LMSW, LMFT",1,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Fri Eve, Sat PM, Sat AM, Wed Eve, Tue AM",1,0.3368,3,0,state_mismatch
A000,S042,NC,SC,0,LMSW,"LCSW, LMFT",0,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Mon PM, Fri AM, Mon AM, Tue PM, Fri Eve, Thu PM",2,0.417,2,0,state_mismatch
A000,S050,NC,NY,0,LMSW,"LMHC, LMFT",0,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Mon Eve, Sat Eve, Tue PM, Thu Eve",1,0.1746,3,0,state_mismatch
A000,S001,NC,SC,0,LMSW,"LMHC, LCSW, LPCC",0,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Mon PM, Fri AM, Sat Eve, Tue AM",1,0.4191,1,0,state_mismatch
A000,S021,NC,SC,0,LMSW,"LMFT, LMSW, LPCC",1,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Tue PM, Fri Eve, Sat Eve",1,0.2743,4,0,state_mismatch
A000,S006,NC,TX,0,LMSW,"LPC, LPCC, LMHC",0,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Mon Eve, Sat Eve, Wed Eve, Wed PM, Thu Eve, Thu PM",0,0.1152,1,0,state_mismatch
A000,S053,NC,SC,0,LMSW,LMSW,1,"Fri AM, Fri PM, Wed AM, Sat AM, Tue PM","Thu AM, Wed Eve, Thu Eve",0,0.0918,1,0,state_mismatch
A001,S046,FL,PA,0,LPCC,"LCSW, LPCC, LMSW",1,"Tue PM, Sat PM, Wed AM, Mon PM","Wed Eve, Mon Eve, Sat Eve, Tue AM, Thu Eve, Fri AM",0,0.1417,2,0,state_mismatch
A001,S059,FL,GA,0,LPCC,LCSW,0,"Tue PM, Sat PM, Wed AM, Mon PM","Thu PM, Mon Eve, Sat Eve, Tue AM",0,0.1912,3,0,state_mismatch
A001,S041,FL,GA,0,LPCC,"LMFT, LCSW",0,"Tue PM, Sat PM, Wed AM, Mon PM","Fri AM, Mon Eve, Sat AM, Tue PM, Wed Eve",1,0.4903,2,0,state_mismatch
A001,S026,FL,GA,0,LPCC,LPC,0,"Tue PM, Sat PM, Wed AM, Mon PM","Tue AM, Sat PM, Fri Eve",1,0.29,1,0,state_mismatch
A001,S033,FL,FL,1,LPCC,LMSW,0,"Tue PM, Sat PM, Wed AM, Mon PM","Fri PM, Mon Eve, Wed Eve, Mon AM",0,0.1862,1,0,license_mismatch
A001,S049,FL,PA,0,LPCC,"LMHC, LMSW",0,"Tue PM, Sat PM, Wed AM, Mon PM","Tue AM, Wed AM, Thu AM, Mon PM, Wed PM, Mon AM",2,0.568,3,0,state_mismatch
A001,S004,FL,GA,0,LPCC,LPCC,1,"Tue PM, Sat PM, Wed AM, Mon PM","Sat PM, Sat AM, Thu PM, Thu Eve, Wed PM",1,0.4187,3,0,state_mismatch
A001,S006,FL,TX,0,LPCC,"LPC, LPCC, LMHC",1,"Tue PM, Sat PM, Wed AM, Mon PM","Mon Eve, Sat Eve, Wed Eve, Wed PM, Thu Eve, Thu PM",0,0.1854,1,0,state_mismatch
A001,S002,FL,CA,0,LPCC,LPCC,1,"Tue PM, Sat PM, Wed AM, Mon PM","Thu AM, Tue Eve, Tue AM",0,0.1254,2,0,state_mismatch
